310.	32.43127886082816	0.009096902199623764
311.	32.057789208169204	0.008997081536328755
312.	31.68969003536539	0.008898214170831894
313.	31.32684084117194	0.008799307987471661
314.	30.96919602805894	0.008701626001596205
315.	30.61677930201842	0.008604995248220997
316.	30.26925761139316	0.008512612206374563
317.	29.926631574252642	0.008416947524532169
318.	29.58891537249264	0.008329144239503275
319.	29.255915581570076	0.00823752573031732
320.	28.927458992421	0.008150476229091902
321.	28.603730742058435	0.008066073506851353
322.	28.28452253897571	0.007983236538388103
323.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
324.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
325.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
326.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
327.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
328.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
329.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
330.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
331.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
332.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
333.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
334.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
335.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
336.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
337.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
338.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
339.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
340.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
341.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
342.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
343.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
344.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
345.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
346.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
347.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
348.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
349.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
350.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
351.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
352.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
353.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
354.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
355.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
356.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
357.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
358.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
359.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
360.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
361.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
362.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
363.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
364.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
365.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
366.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
367.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
368.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
369.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
370.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
371.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
372.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
373.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
374.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
375.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
376.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
377.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
378.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
379.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
380.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.0342382816890462[[2]]^2]
